0 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994874e-01 3.19780875e-03 5.50553923e-05], [-0.00319793  0.99948335  0.03198111], [ 4.72425272e-05 -3.19811255e-02  9.99488473e-01]], [0.0,0.0,0.0]
1 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994397e-01 3.34770069e-03 6.92495814e-05], [-0.00334821  0.99949282  0.031668  ], [ 3.68005094e-05 -3.16680484e-02  9.99498427e-01]], [-0.0,-0.0,-0.0]
2 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994695e-01 3.25212092e-03 4.28957937e-05], [-0.00325185  0.99949169  0.03171468], [ 6.02659711e-05 -3.17146480e-02  9.99496937e-01]], [-0.0,-0.0,-0.0]
3 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994516e-01 3.30424658e-03 6.89842273e-05], [-0.00330477  0.9994899   0.03176542], [ 3.60117265e-05 -3.17654721e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
4 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 9.99994159e-01  3.41015495e-03 -4.70214218e-05], [-0.00340695  0.99949056  0.03173428], [ 1.55216258e-04 -3.17339338e-02  9.99496341e-01]], [-0.0,-0.0,-0.0]
5 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 9.99993861e-01  3.50594986e-03 -1.57424147e-05], [-0.00350369  0.99949127  0.03169977], [ 1.26872212e-04 -3.16995196e-02  9.99497414e-01]], [-0.0,-0.0,-0.0]
6 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23300157e-03 3.51022318e-05], [-0.00323248  0.99948609  0.03189164], [ 6.80215235e-05 -3.18915881e-02  9.99491334e-01]], [-0.0,-0.0,-0.0]
7 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 9.99994934e-01  3.17637227e-03 -8.40607754e-06], [-0.00317449  0.99948668  0.03187919], [ 1.09661923e-04 -3.18790004e-02  9.99491751e-01]], [-0.0,-0.0,-0.0]
8 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
9 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
10 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
11 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
12 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
13 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
14 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
15 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
16 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
17 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
18 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[9.99994755e-01 3.23204533e-03 1.66957434e-05], [-0.00323094  0.99949008  0.03176699], [ 8.59851280e-05 -3.17668803e-02  9.99495327e-01]], [-0.0,-0.0,-0.0]
19 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.99999398  0.0030944  -0.00157468], [-0.00304337  0.99950105  0.03143789], [ 0.00167117 -0.03143291  0.99950445]], [-0.0,-0.0,-0.0]
20 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.99987268  0.00220219 -0.01580279], [-0.00174408  0.99957949  0.02894461], [ 0.01585989 -0.02891336  0.99945611]], [-0.0,-0.0,-0.01]
21 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 0.99901783  0.00497956 -0.04402886], [-0.00411208  0.99979609  0.01977125], [ 0.04411834 -0.01957078  0.99883461]], [0.02,-0.04,-0.12]
22 [[581.9481811523438, 0, 711.3695678710938], [0, 581.9481811523438, 339.9622802734375], [0, 0, 1]], [[ 9.95333433e-01  3.04545974e-05 -9.64954421e-02], [0.00157769 0.99986112 0.01658913], [ 0.09648255 -0.01666396  0.99519515]], [0.02,-0.04,-0.14]
